epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_sec,model_name,best_epoch,best_val_f1
1,0.4642502574223746,0.04213182938353696,0.9865893439652048,0.9854792656321186,0.9776987020269196,0.9797209088627633,289.74203634262085,efficientnet_b0,10,0.9960607708967965
2,0.053412926991934645,0.023063758407191493,0.9945632475534614,0.9943888711602605,0.9915967097421963,0.9928493090608247,274.26700830459595,efficientnet_b0,10,0.9960607708967965
3,0.03337897566035404,0.018000626680918,0.9952881478796666,0.9935682808496996,0.9926362608655597,0.9930698771023493,271.5072875022888,efficientnet_b0,10,0.9960607708967965
4,0.023701900982029518,0.02223283673544884,0.9952881478796666,0.9951298911784958,0.9916955262655983,0.9931273335665958,275.44078063964844,efficientnet_b0,10,0.9960607708967965
5,0.01938355862747724,0.014914870227781008,0.9958318231243204,0.9935137202633164,0.993388126770043,0.9934173636180316,274.5593891143799,efficientnet_b0,10,0.9960607708967965
6,0.01668532262779202,0.01943959698046301,0.9934758970641536,0.9907603809455713,0.9905698044512613,0.990552682788808,267.7966766357422,efficientnet_b0,10,0.9960607708967965
7,0.011516985199575763,0.015394214022075275,0.9963754983689742,0.9962282362242613,0.9926166427579354,0.9941822836322826,264.3754634857178,efficientnet_b0,10,0.9960607708967965
8,0.012146054775267983,0.013369591749082541,0.9963754983689742,0.9953995384202664,0.9939674318468219,0.9946398456172502,262.14403462409973,efficientnet_b0,10,0.9960607708967965
9,0.009685010359162022,0.01911929521466971,0.9963754983689742,0.9958921790860793,0.994525064282393,0.9951152426394322,265.43136858940125,efficientnet_b0,10,0.9960607708967965
10,0.009960606764120333,0.013340135421768927,0.997462848858282,0.9966268289118143,0.9955459940311322,0.9960607708967965,266.8331205844879,efficientnet_b0,10,0.9960607708967965
