epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_sec,model_name,best_epoch,best_val_f1
1,0.32357982803994684,0.03595180593279264,0.9882203696991664,0.9870931214528085,0.9842463839775294,0.9855585906836718,296.95828342437744,resnet50,10,0.9947089716329456
2,0.0450093116541199,0.032664541908197085,0.989851395433128,0.9866465321756649,0.9878120697899277,0.9870543969349477,307.5711040496826,resnet50,10,0.9947089716329456
3,0.02980632791918455,0.033201935247100856,0.9896701703515767,0.9878359537905518,0.9798977368941663,0.9816139920844275,306.5406012535095,resnet50,10,0.9947089716329456
4,0.020871074852970687,0.03416343776007603,0.9913011960855382,0.9899522096836171,0.9901121747937796,0.9899669319947186,305.2963078022003,resnet50,10,0.9947089716329456
5,0.021487337135372063,0.022840012368140917,0.9932946719826024,0.9899076867357154,0.9916584345215845,0.9906760426229136,313.58024549484253,resnet50,10,0.9947089716329456
6,0.01651332151931105,0.028461271898122663,0.9934758970641536,0.9921438919562967,0.987288285936264,0.9888094981522082,312.145619392395,resnet50,10,0.9947089716329456
7,0.011228242398960505,0.020528913413317012,0.9932946719826024,0.9899171786293022,0.9904306610331387,0.9900667917277287,315.4007830619812,resnet50,10,0.9947089716329456
8,0.01863052680478999,0.02444196127198804,0.992388546574846,0.9880770691312287,0.990901432571271,0.9890631544198213,311.5292806625366,resnet50,10,0.9947089716329456
9,0.013071730474624252,0.01895467461052024,0.9952881478796666,0.9940940169591467,0.9920085032628316,0.9928913246450237,307.7699091434479,resnet50,10,0.9947089716329456
10,0.009969642791296997,0.016060613724072182,0.9956505980427691,0.9946227153288439,0.9948204512933176,0.9947089716329456,311.35345935821533,resnet50,10,0.9947089716329456
1,0.4642502574223746,0.04213182938353696,0.9865893439652048,0.9854792656321186,0.9776987020269196,0.9797209088627633,289.74203634262085,efficientnet_b0,10,0.9960607708967965
2,0.053412926991934645,0.023063758407191493,0.9945632475534614,0.9943888711602605,0.9915967097421963,0.9928493090608247,274.26700830459595,efficientnet_b0,10,0.9960607708967965
3,0.03337897566035404,0.018000626680918,0.9952881478796666,0.9935682808496996,0.9926362608655597,0.9930698771023493,271.5072875022888,efficientnet_b0,10,0.9960607708967965
4,0.023701900982029518,0.02223283673544884,0.9952881478796666,0.9951298911784958,0.9916955262655983,0.9931273335665958,275.44078063964844,efficientnet_b0,10,0.9960607708967965
5,0.01938355862747724,0.014914870227781008,0.9958318231243204,0.9935137202633164,0.993388126770043,0.9934173636180316,274.5593891143799,efficientnet_b0,10,0.9960607708967965
6,0.01668532262779202,0.01943959698046301,0.9934758970641536,0.9907603809455713,0.9905698044512613,0.990552682788808,267.7966766357422,efficientnet_b0,10,0.9960607708967965
7,0.011516985199575763,0.015394214022075275,0.9963754983689742,0.9962282362242613,0.9926166427579354,0.9941822836322826,264.3754634857178,efficientnet_b0,10,0.9960607708967965
8,0.012146054775267983,0.013369591749082541,0.9963754983689742,0.9953995384202664,0.9939674318468219,0.9946398456172502,262.14403462409973,efficientnet_b0,10,0.9960607708967965
9,0.009685010359162022,0.01911929521466971,0.9963754983689742,0.9958921790860793,0.994525064282393,0.9951152426394322,265.43136858940125,efficientnet_b0,10,0.9960607708967965
10,0.009960606764120333,0.013340135421768927,0.997462848858282,0.9966268289118143,0.9955459940311322,0.9960607708967965,266.8331205844879,efficientnet_b0,10,0.9960607708967965
1,0.5547259974165419,0.05618253316569583,0.9836897426603842,0.9774895686127306,0.9794320973237141,0.977047229093968,276.4343957901001,mobilenet_v2,6,0.994011956692245
2,0.0658214875872594,0.02709695562529072,0.9922073214932947,0.990838295235955,0.9869155511065785,0.9885226802807532,270.6425302028656,mobilenet_v2,6,0.994011956692245
3,0.035296918010730156,0.021200768015053408,0.9940195723088076,0.9919145469218739,0.9915163188028252,0.9916849849471737,268.4255111217499,mobilenet_v2,6,0.994011956692245
4,0.027709502045279628,0.023473322789068968,0.9925697716563973,0.9884730863081919,0.9907010404839632,0.988855700366836,260.55001497268677,mobilenet_v2,6,0.994011956692245
5,0.021579976150245022,0.018870328575155398,0.9940195723088076,0.9942280672905146,0.991597617619044,0.9927584463579352,268.1300916671753,mobilenet_v2,6,0.994011956692245
6,0.01567303136606322,0.013942181266140443,0.9958318231243204,0.9943495960436711,0.9937173721347327,0.994011956692245,273.81315064430237,mobilenet_v2,6,0.994011956692245
7,0.014885256529709331,0.02566057240582373,0.9927509967379485,0.9917011178130577,0.9910441840185997,0.9913311921364105,277.11670875549316,mobilenet_v2,6,0.994011956692245
8,0.013178571676544775,0.018722041359625193,0.9932946719826024,0.9906171034268462,0.9912532488651623,0.9907008344413656,266.02885842323303,mobilenet_v2,6,0.994011956692245
9,0.011151932057316023,0.02887373885093464,0.9925697716563973,0.9916013897899731,0.9917976067050689,0.9913937057856407,271.0195345878601,mobilenet_v2,6,0.994011956692245
10,0.009256496020910651,0.017459008648968485,0.9956505980427691,0.992491657104109,0.9945263509813602,0.9932783723073468,298.71337699890137,mobilenet_v2,6,0.994011956692245
