epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_sec,model_name,best_epoch,best_val_f1
1,0.32357982803994684,0.03595180593279264,0.9882203696991664,0.9870931214528085,0.9842463839775294,0.9855585906836718,296.95828342437744,resnet50,10,0.9947089716329456
2,0.0450093116541199,0.032664541908197085,0.989851395433128,0.9866465321756649,0.9878120697899277,0.9870543969349477,307.5711040496826,resnet50,10,0.9947089716329456
3,0.02980632791918455,0.033201935247100856,0.9896701703515767,0.9878359537905518,0.9798977368941663,0.9816139920844275,306.5406012535095,resnet50,10,0.9947089716329456
4,0.020871074852970687,0.03416343776007603,0.9913011960855382,0.9899522096836171,0.9901121747937796,0.9899669319947186,305.2963078022003,resnet50,10,0.9947089716329456
5,0.021487337135372063,0.022840012368140917,0.9932946719826024,0.9899076867357154,0.9916584345215845,0.9906760426229136,313.58024549484253,resnet50,10,0.9947089716329456
6,0.01651332151931105,0.028461271898122663,0.9934758970641536,0.9921438919562967,0.987288285936264,0.9888094981522082,312.145619392395,resnet50,10,0.9947089716329456
7,0.011228242398960505,0.020528913413317012,0.9932946719826024,0.9899171786293022,0.9904306610331387,0.9900667917277287,315.4007830619812,resnet50,10,0.9947089716329456
8,0.01863052680478999,0.02444196127198804,0.992388546574846,0.9880770691312287,0.990901432571271,0.9890631544198213,311.5292806625366,resnet50,10,0.9947089716329456
9,0.013071730474624252,0.01895467461052024,0.9952881478796666,0.9940940169591467,0.9920085032628316,0.9928913246450237,307.7699091434479,resnet50,10,0.9947089716329456
10,0.009969642791296997,0.016060613724072182,0.9956505980427691,0.9946227153288439,0.9948204512933176,0.9947089716329456,311.35345935821533,resnet50,10,0.9947089716329456
