epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_sec,model_name,best_epoch,best_val_f1
1,0.5547259974165419,0.05618253316569583,0.9836897426603842,0.9774895686127306,0.9794320973237141,0.977047229093968,276.4343957901001,mobilenet_v2,6,0.994011956692245
2,0.0658214875872594,0.02709695562529072,0.9922073214932947,0.990838295235955,0.9869155511065785,0.9885226802807532,270.6425302028656,mobilenet_v2,6,0.994011956692245
3,0.035296918010730156,0.021200768015053408,0.9940195723088076,0.9919145469218739,0.9915163188028252,0.9916849849471737,268.4255111217499,mobilenet_v2,6,0.994011956692245
4,0.027709502045279628,0.023473322789068968,0.9925697716563973,0.9884730863081919,0.9907010404839632,0.988855700366836,260.55001497268677,mobilenet_v2,6,0.994011956692245
5,0.021579976150245022,0.018870328575155398,0.9940195723088076,0.9942280672905146,0.991597617619044,0.9927584463579352,268.1300916671753,mobilenet_v2,6,0.994011956692245
6,0.01567303136606322,0.013942181266140443,0.9958318231243204,0.9943495960436711,0.9937173721347327,0.994011956692245,273.81315064430237,mobilenet_v2,6,0.994011956692245
7,0.014885256529709331,0.02566057240582373,0.9927509967379485,0.9917011178130577,0.9910441840185997,0.9913311921364105,277.11670875549316,mobilenet_v2,6,0.994011956692245
8,0.013178571676544775,0.018722041359625193,0.9932946719826024,0.9906171034268462,0.9912532488651623,0.9907008344413656,266.02885842323303,mobilenet_v2,6,0.994011956692245
9,0.011151932057316023,0.02887373885093464,0.9925697716563973,0.9916013897899731,0.9917976067050689,0.9913937057856407,271.0195345878601,mobilenet_v2,6,0.994011956692245
10,0.009256496020910651,0.017459008648968485,0.9956505980427691,0.992491657104109,0.9945263509813602,0.9932783723073468,298.71337699890137,mobilenet_v2,6,0.994011956692245
