Perturbation,EfficientNet-B0,MobileNetV2,ResNet50,Approx. Mean
background_clutter,0.9744,0.7382,0.9634,0.892
blur,0.3052,0.2431,0.3366,0.295
low_light,0.6179,0.7578,0.7835,0.7197
occlusion,0.9715,0.8957,0.9544,0.9405
