Severity,EfficientNet-B0,MobileNetV2,ResNet50
0,0.9962,0.9948,0.995
1,0.993075,0.981625,0.98915
2,0.948175,0.916425,0.95805
3,0.858275,0.814975,0.8993
4,0.8187,0.69415,0.8005249999999999
5,0.71725,0.6587000000000001,0.759475
